<h2>Functional Enquiries</h2>

<h3>General questions</h3>
Have you had any pains like that before?	你以前有过类似疼痛吗？	nî yî qián yôu guò lèi sì téng tòng mä 	pernahkah ada rasa sakit macam ini?	Yao mou kam yong tung gor?	Deng pai wu tnia boh?
Character - What is it like?	怎么痛法？	zên mè tòng fâ 	Sakitnya rasa macam mana?	Dim yong tung fatt?	Tnia ah zhua kuan?
Is the pain severe?	痛得厉害吗？	tòng dé lì hãi mä 	sangat sakitkah?	Hai mm hai hou tung?	Si mm si jin jia tnia?
...moderate?	中等的	zhöng dêng dè	sakitnya sederhanakah?	-	-
...mild?	一点点痛	yï diân diân tòng	sakitnya hanya sedikitkah?	Yat di tung?	Tam bo tnia?
...sharp?	锐痛	ruì tòng	adakah rasa sakit itu tajam?	Jiim tong?	Jiam eh tnia?
...shooting?	刺痛	cì tòng	-	Jiim tong?	-
...dull?	钝痛	dùn tòng	-	-	-
...aching?	酸痛	suän tòng	-	Xun tong?	Sng sng?
...crampy?	绞痛	jiâo tòng	-	Chao gan?	Kill dio guun?
...diffuse?	到处痛	dão chù tòng	sakitnya di seluruh badan?	Dou dou tong?	Tat wee tnia?
Occurrence - is it present all the time or is it intermittent?	是不是阵痛？是不是持续痛？	shì bù shì zhèn tòng? shì bù shì chí xù tòng?	Sakitnya selalu ada (always)? Atau datang pergi (intermittent)?	Yatt low tung wak jeh yau si tong, yau si mm tong?	Di di tnia ga si tnia go teng, tnia go teng
Aggravation - What brings it on? What makes it worse?	怎样更痛？	zên yãng gèn tòng	Apa yang menyebabkannya? Apa yang buat dia sakit?	Dim yong sin wui gun tung?	Ahn zua eh ka tnia?
Relief - What makes it better?	怎样不痛？	zên yãng bù tòng	Buat apa untuk hilangkan sakit?	Dim yong sin mm tung?	Si mi ming knia hor yi ka ho?

<h3>Lumps and bumps / Ulcers</h3>
When was the lump / ulcer first noticed?	瘤/疮 是几时发现的？	liú / chuäng shì jî shí fä xiãn dè	Bila perasan benjol / bisulnya?	Lei gei si fatt kork yao gor lap ye / cong?	Di si zai ynia ler wu zit liap / kang?
What made you notice the lump / ulcer?	是怎样发现的？	shì zên yãng fä xiãn dè	Bagaimana perasan benjol ini?	Lei dim gai wui fatt kork gor lap ye / cong?	Ler ahn zua eh zai ynia wu zit liap / kang?
…when bathing	洗澡时	xî zâo shí	bila mandi	cong liong	zang egg zun
…discovered when feeling the painful area	因为感觉痛	yïn wèi gân jué tòng	kerana terasa sakit	tong ge si hao mor dou	eh tnia
…someone else noticed it	别人看到	bié rén kãn dão	orang lain nampak	yan dei tai geen	bud lang ga ler kong
…bleeding	流血	liú xiê 	berdarah	lau huit	lao huit
…purulent discharge	脓流出来	nóng liú chð lái	bernanah	yau nong	huad yam
What are the symptoms of the lump / ulcer?	有什么症状？	yôu shên mè zhèng zhuãng	Apakah ciri-ciri benjol ini?	Kork lap (ye / cong) hai dim gare?	Hi liap / Hi eh kang si ahn zua kuan?
…painful	痛	tòng	sakit	tong 	tnia
…disfiguring	不美观	bù mêi guän	tak cantik	Ngan thai	bo sui / pai knua
…interfering with movement 	行动不方便	xíng dòng bù fäng biãn	menghalang pergerakkan	Hang dong kuan nan	Knia lor kang kor
…interfering with respiration 	呼吸困难	hð xï kùn nán 	menghalang pernafasan	Foo kup kuan nan	Chuan kui kang kor
…interfering with swallowing	吞不下	tðn bù xiã	menghalang menelan	Tan mm dou yeh	Toon kang kor
Has the lump / ulcer changed since it was first noticed?	瘤/疮 有没有跟以前不一样？	liú / chuäng yôu méi yôu gën yî qián bù yï yãng	Benjolnya ada berubah tak?	Kork lap (ye / cong) yau mou bin yeung?	Ji liap /kang wu bian bo?
…size (become big / become small)	变大 / 变小	biãn dã / biãn xiâo	lagi besar / kecil	bin dai / bin sai	bian toa /suei
…consistency (hard / soft)	硬 / 软	yìng / ruân	menjadi keras / lembut	ngang / lum	teng teng / nerng nerng
…nature of surface (rough / smooth)	粗 / 滑	cð / huá 	permukaannya kasar / licin	cou / wat	chor chor / guk guk
…discharge	流脓	liú nóng	Ada keluar nanah?	Yau mo lau nong?	Wu lao si mi bo?
…pain	痛	tòng	sakit	tong	tnia
Does the lump ever disappear?	有没有消失过？	yôu méi yôu xiäo shï  guò?	Pernah tak benjolnya hilang?	Yau mou siew sat gor?	Hi liap wu siao geh bo?
…on lying down	躺下来时	tâng xiã lái shí	bila baring	fun dai shi	doh
…on exercise	运动时	yùn dòng shí	bila bersukan / bersenam	wan dong shi	wun dong
Have you had any other lumps / ulcers?	有没有其他的瘤/疮？	yôu méi yôu qí tä dè liú / chuäng	Sebelum ini pernah ada benjol lain?	Yi qin yau mou kay tar lau/cong?	Gu bai wu geh bo?
What do you think caused the lump?	你觉得是什么造成的？	nî jué dé shì shên mè zão chéng dè	Apa agaknya sebabkan benjol ni?	Lei wa dim gai wui gom yong?	Ahn zua eh ah ni?
…injury	受伤	shòu shäng	cedera	sau xiong	dio siong
…illness	病状	bìng zhuãng	penyakit	yau bang	pua pnee

<h3>Cardiovascular & Respiratory System</h3>
Chest pain - Have you had any recent pains / discomforts in the chest	你觉得胸口痛吗？	nî jué dé xiöng kôu tòng mä	Dada ada rasa sakit?	Sum how yau mou tong / mm xu fook?	Gun lai sim gnua tao eh tnia bo?
Short of breath - Are you breathless at any time?	很容易喘吗？	hên róng yì chuân mä 	Ada sesak nafas pada bila bila masa?	Yau mou hei qun?	Ler eh chuan bue?
Orthopnea - Do you get breathless in bed?	躺在床会喘吗？	tâng zãi chuáng huì chuân mä	Ada sesak nafas bila baring?	Fan gau yau mou hei qun?	Doh eh chuan bue?
How many pillows do you use?	你睡觉用几个枕头？	nî shuì jião yòng jî gè zhên tóu	Berapa banyak bantal kamu pakai?	Yong gei dor gor zum tau?	Koon eng gui eh zim tau?
Paroxysmal nocturnal dyspnoea - Do you wake at night gasping for breath?	晚上睡觉会喘吗？	wân shãng shuì jião huì chuân mä	Ada bangun waktu malam rasa sesak?	Yau mou fan dou boon ye hei qun hei san?	Pnua mi eh chuan bue?
Ankle swelling - Have your legs/ankles ever been swollen?	脚肿吗？	jiâo zhông mä	Bukulalinya ada bengkak?	Lei geok zang yau mou zong gor?	Ka wu zeng bo?
Palpitations - Are you aware of your heart beating beating abnormaly?	感觉到你心跳不正常吗？	gân jué dão nî xïn tião bù zhèng cháng mä	Dengupan jantung ada lain dari biasa?	Yau mou gok tak sum tiu mm zeng siong?	Ler eh gam ga dio ga gi eh xim tiao bo?
..slow / fast	慢 / 快	mãn / kuãi	perlahatan / cepat	man / fai	gin / baan
Cough - Do you cough?	咳嗽吗？	ké sòu mä	Ada batuk?	Yau mou kaat?	Wu ga sao bo?
Do you cough up sputum?	当你咳嗽时有痰吗？	däng nî ké sòu shí yôu tán mä 	Ada batuk kahak?	You mou tam?	Ga sao wu tam bo?
When do you cough?	几时咳嗽？	jî shí ké sòu	Bila batuk?	Gei see kaat?	Di si eh ga sao?
Sputum - What colour is your sputum?	痰是什么颜色的？	tán shì shén mè yán sè dè 	Kahaknya warna apa?	Tam mat ye ngan sek?	Tam si mi sek?
green / yellow / clear	青色 / 黄色 / 透明	qïng sè / huáng sè / tòu míng	hijiau / kuning / tak berwarna	ceng / wong / mou sek	chnee / ng / bo sek
Haemoptysis - Do you cough up blood?	痰里有血吗？	tán lî yôu xiê mä 	Ada batuk darah?	Tam you mou huit?	Wu ga sao huit bo?
Syncope - Have you had any blackouts?	有晕过吗？	yôu yðn guò mä 	Baru-baru ini ada pitam?	Yau mou wan dai?	Pud hin gey bo?
Smoking - Do you smoke? How many cigarettes?	有抽烟吗？一天几支？	yôu chöu yän mä? yì tiän jî zhï? 	Merokok tak? Berapa batang sehari?	Yau mou sek yin? Yatt yat sek gei dor yin?	Wu jia hoon ki bo? Gooi ki?

<h3>Gastrointestinal System</h3>
Nausea - Are there times when you feel like vomitting?	你有时想吐吗？	nî yôu shí xiâng tù mä 	Ada rasa nak muntah?	Yau mou xiong zor au?	Ler wu si eh ai tor bo?
What is the vomit like?	吐什么？	tù shên mè	Muntah keluar apa?	Au di meh yeh?	Tor si mi? Tor eh min knia ahn zua kuan?
Is the blood dark or bright red?	血是鲜红或 深红色？	xiê shì xiän hóng huò shën hóng sè	Darahnya warna apa? merah gelap (dark) atau terang (bright)?	Huit mat ye ngan sek?	Huit si ang ang ah si or or?
Dysphagia - Do you have difficulty swallowing?	吞东西有问题吗？	tðn döng xï yôu wèn tí mä 	Ada susah nak telan?	Tarn ye kuan nan ma?	Toon eh gang kor bue?
Indigestion - Do you have any discomfort in your stomach after eating?	吃饭后会感觉肚子不舒服吗？	chï fãn hòu huì gân jué dù zî bù shð fú mä	Perut ada rasa sakit / tak selesa lepas makan?	Yau mou siew fa but leong?	Jia png liao pud dor eh tnia bue?
Abdominal pain - Where is the pain?	肚子痛吗？	dù zî tòng mä	Di mana sakit?	Tou bin dou tong?	Doh loh tnia?
Does eating / going to the toilet affect the pain?	吃东西 / 上厕所会影响到疼痛吗？	chï döng xï / shãng cè suô huì yíng xiâng dão téng tòng mä 	Makan / Buang air ada buatnya lebih sakit?	Sek ye / Hoi chee sor yan mou yeng hiong?	Jia ming knia / Ke liam muan, tnia eh ahn zua bo?
What relieves the pain?	什么能减轻疼痛？	shên mè néng jiân qïng téng tòng	Apa yang kurangkan sakitnya?	Dim yong wui mm tong?	Si mi ming knia eh hor yi ka buey tnia?
Bowel habit - Do you have constipation?	有便秘吗？	yôu biãn mì mä	Ada sembelit?	Yau mou bin bay?	Ler wu pang sai bo?
Do you have diarrhoea?	你有泻肚子吗？	nî yôu xiè dù zî mä 	Ada cirit-birit?	Yau mo tou orr?	Ler wu lau sai bo?
What are your stools like? (colour)	大便什么颜色？	dã biãn shên mè yán sè	Apakah warna tahi kamu?	Or see dim yong ge?	Sai si ahn zua kuan?
Jaundice - Is your urine dark? What is the colour of your urine?	尿是什么颜色？尿是深色吗？	nião shì shên mè yán sè? nião shì shën sè mä? 	Kencingnya warna apa? Kencingnya gelap tak? 	Or liew mat ye ngan sek?	Ler eh dio sih si mi sek?
Is the colour of your urine like tea?	尿的颜色象茶 (teh-O) 吗？	nião dè yán sè xiãng chá mä 	Kencingnya macam teh-o?	Or liew gei ngan sek hai mm hai ho qi cha?	Ler eh dio xiang teh-o boh?
Are your stools pale?	你的大便浅色吗？	nî dè dã biãn qiân sè mä	Tahinya pucat tak?	See mat ye ngan sek?	Ler eh sai eh bei bei bue?
What tablets have you been taking recently?	最近有吃什么药吗？	zuì jìn yôu chï shên mè yão mä 	Ada ambil pil apa baru-baru ini?	Zoi gan yau mou sek york?	Gun lai ler wu jia si mi yeoh bo?
Have you had any recent injections or transfusions?	最近有打针或输血吗？	zuì jìn yôu dâ zhën huò shð xiê mä	Baru-baru ini ada kena suntikan / ambil darah?	Zoi gan yau mou da zam  / xu huit?	Gun lai ler wu pa zam / jip huit bo?
Have you been abroad recently?	最近有出国吗？	zuì jìn yôu chð guó mä	Baru-baru ini ada keluar negeri?	Zoi gan yau mou chut gok?	Wu chut gok bo?
Do you drink? How much alcohol do your drink?	有喝酒吗？一天喝多少？	yôu hë jiû mä? yì tiän hë duö shâo?	Ada minum arak? Berapa banyak?	Lei yau mou yam zau? Yam gei dor?	Wu lim jiu bo? Lim luar zueh?

<h3>Genito-urinary System</h3>
Loin pain - Any pain in your back?	背有没有痛？	bèi yôu méi yôu tòng	Belakang ada sakit?	Booi zek yau mou tong?	Ga jia eh tnia bue?
Urine - Do you pass urine frequently? Is it a lot?	你有经常小便吗？小便会多吗？	nî yôu jïng cháng xiâo biãn mä? xiâo biãn huì duö mä?	Ada kencing selalu? Kencing ada banyak?	Geng siong or liew ma? Or tak dor ma?	Wu di di ke pang dio bo, dio eh juei bue?
Do you have difficulty passing urine?	小便时有困难吗？	xiâo biãn shí yôu kùn nán mä	Susah nak kencing tak?	Or liew san fu ma?	Pang dio eh kang kor bue?
Do you wake up at night to pass urine often?	你有经常在晚上起来小便吗？	nî yôu jïng cháng zãi wân shãng qî lái xiâo biãn mä?	Malam ada bangun untuk kencing?	Ye man yau mou hei san or liew?	Pnua mi eh ki lai pang dio bue?
Is there blood in your urine?	小便有没有血？	xiâo biãn yôu méi yôu xiê  	Ada darah dalam kencing?	Liew yau mou huit?	Dio wu huit bo?
Sex - Any problems with sex?	性交时有没有困难？	xing4 jiao1 shí yôu méi yôu kùn nán	Waktu bersetubuh, ada apa-apa masalah?	Seng gao yau mon man tai?	Knia bang wu bon duei bo?
Menstruation - Any problems with your periods?	月经规律吗？	yuè jïng guï lÙ mä 	Haidkamu normal / biasa tak?	Yuit geng cheng siong ma?	Lai geh geng wu boon duei bo?
Do you bleed heavily?	月经量多吗？	yuè jïng liãng duö mä 	Waktu haid, ada keluar banyak darahkah?	Lau huit dor ma?	Eh lau jin juei huit bo?
Do you bleed in between periods?	两次月经之间有没有出血？	liâng cì yuè jïng zhï jiän yôu méi yôu chð xiê 	Ada pendarahan antara haid?	Yuit geng mei dou, wui mm wui lau huit?	Ah bue lai geh geng wu lao huit bue?
Vaginal discharge - Is there any abnormal vaginal discharge?	阴道有不正常的分泌物吗？	yïn dão yôu bù  zhèng cháng dè fën mì wù mä	Selain darah, waktu haid ada keluar apa-apa yang lain?	Yum dou yau mou mm cheng xiong gei fun bei mud? 	Eh kah wu peh dai bo?
Pain on intercourse - Is there any pain on intercourse?	性交时有没有疼痛？	xing4 jiao1 shí yôu méi yôu téng tòng	Ada rasa sakit semasa bersetubuh?	Hung fong shi wui mm wui tong?	Knia bang wu tnia boh?

<h3>Nervous System</h3>
Headache - Do you have any headache? Where are they?	你头痛吗？	nî tóu tòng mä	Ada rasa sakit kepala? Di mana sakitnya?	Yau mou tou tong? Bin dou tong?	Wu tao tnia bo? Doh loh tnia?
Vision - Can you see clearly?	看得清楚吗？	kãn dé qïng chû mä	Penglihatan bagus?	Tai ye cheng chor ma?	Knua ming knia, wu boon duei bo?
Hearing - Can you hear well?	听得清楚吗？	tïng dé qïng chû mä	Pendengaran baik?	Teng ye cheng chor ma?	Tnia eh dio bo? Eh cheng cho bue?
Dizziness - Do you feel dizzy?	你觉得头昏吗？	nî jué dé tóu hðn mä 	Ada rasa pening?	Wui mm wui tau wan?	Tau eh hin hin bue?
Unsteady gait - Do you have difficulty walking or running?	跑步 / 走路有没有困难？	pâo bù / zôu lù yôu méi yôu kùn nán	Kalau jalan, huyang-hayang tak?	Hung lor / Pau bou yau mou man tai?	Knia lor / Zau wu boon duei bo?
Weakness - Do you feel weak anywhere?	手/脚无力吗？	shôu / jiâo wú lì mä 	Ada rasa lemah mana-mana?	Yau mou bin dou mou lek?	Wu doh loh bo lat bo?
Numbness	身体有麻木的感觉吗？	shën tî yôu má mù dè gân jué má 	Ada rasa kebas?	Yau mou bin dou mou gam gork?	Wu doh loh eh bar bo?
Pins and needles	-	-	-	Yau mou gork duk zum gud gum tung?	Eh bar bue?
Sphincter disturbance - Can you hold your urine and stool?	有没有尿失禁？拉屎有没有问题？	yôu méi yôu nião shï jìn? lä shî yôu méi yôu wèn tí 	Ada boleh tahan kencing / berak?	Or liew / Or see yan tak ju ma?	Pang dio / Pang sai eh loon bue?

<h3>Locomotor System</h3>
Do you experience any pain / stiffness / swelling of joints?	有没有关节痛 / 红肿？	yôu méi yôu guän jié tòng / hóng zhông	Ada rasa sakit / tegang / bengkak di sendi?	Guan jit yau mou tong / zong?	Doh loh wu tnia / zeng bo?
Which joint?	哪个关节？	nâ gè guän jié 	Di sendi mana?	Bin dou?	Doh loh?
Is the pain always there or only when you move?	一直痛还是动的时候痛？	yì zhí tòng hái shì dòng dè shí hòu tòng	Sakitnya selalu ada atau bila bergeraksaja?	Yat jade tung, wak jeh, hang lou zeng tong?	Di di tnia, ah si, gnia lor tnia?
Do you have any difficulty moving any joint?	使用关节有没有问题？	shî yòng guän jié yôu méi yôu wèn tí 	Ada rasa susah nak bergerak?	Yau mou guan jit mm yuk tak?	Din dang eh kang kor bue?

<h3>Thyroid Disease</h3>
Weight change - have you lost or gained weight recently?	最近有没有瘦了还是肥了？	zuì jìn yôu méi yôu shòu lè hái shì féi lè 	Berat badan ada turun atau naik baru-baru ini?	Zoi gan yau mou sau di / fei di?	Ler wu ka san / ka pui bo?
Reaction to weather - Are you bothered by hot / cold weather?	天气冷 / 热有没有感到不舒服？	tiän qì lêng / rè yôu méi yôu gân dão bù shð fú	Ada rasa tak selesa semasa panas / sejuk?	Tin hei leong/yit, wui mm she fook mou?	Ti si luah / Gnua, eh kang kor bue?
Irritability - are you more easily irritated nowadays?	最近有没有常常发脾气？	zuì jìn yôu méi yôu cháng cháng fä pí qì	Adakah kemu rasa lebih senang geram baru-baru ini?	Zoi gan wui mm wui pei hei wai dit?	Zi bai lang eh zin bek cek bue?
Do you have diarrhoea / constipation?	有没有泻肚子 / 便秘？	yôu méi yôu xiè dù zî / biãn mì	Ada cirit-birit / sembelit?	Yau mou tou orr / bin bay?	Wu lao sai / bue pang sai bo?
Do you have palpitations?	有没有感觉心跳很快？	yôu méi yôu gân jué xïn tião hên kuãi	Ada rasa jantung mengepam dengan cepat?	Yau mou gork dak sum tiew hou fai?	Ler eh gam gak xim tiau zin gin bue?
Dry skin or greasy hair?	有没有觉得皮肤干燥 / 头发油腻？	yôu méi yôu jué dé pí fð gän zão / tóu fâ yóu nì 	Kulit kering / Rambut berminyak	Yau mou gork duk pei fu gon chou / Tau fatt dor yau	Peh hu dar dar / Tau mng you you

<h3>Past History</h3>
Have you had any serious illness in your life?	过去你得过什么病吗？	guò qù nî dé gùo shên mè bìng mä	Pernah sakit teruk?	Yau mou dai paeng gor?	Wu toa pua pnee geh bo?
Have you had any emotional / nervous problems?	有没有精神上的问题？	yôu méi yôu jïng shén shãng dè wèn tí 	Perasa an ada terganggu?	Gor hue yau mou jeng sun paeng?	Ler wu jin sin eh boon duei boh?
Have you had any operations?	过去你动过手术吗？	guò qù nî dòng guò shôu shù mä 	Pernah ada operation / pembedahan?	Yau mou doong gor sau sote?	Wu kui geh doh bo?
Has any medicines ever upset you?	对什么药物过敏吗？	duì shên mè yão wù guò mîn mä	Ada allergi kepada ubat?	Lei yau mou doi mat ye york mun gum?	Wu si mi yeoh bue sai jiah bo?
Do you suffer from 	你患有	nî huãn yôu	adakah kamu mengalami…	Lei you mou…	Ler wu….boh?
...diabetes?	-糖尿病？	táng nião bìng	kencing manis	tim liew	pang tnee dio
...hypertension?	-高血压？	gäo xuè yä	tekanan darah tinggi	huit ngak gou	huit guain
...hyperlipidaemia?	-高血脂？	gäo xuè zhï 	tinggi lemak	huit ji gou	-
…hypercholesterolemia	-血胆固醇过高	xuè dân gù chún guò gäo	hyperkolesterolemia	Darm gu xun gor gou	-

<h3>Family History</h3>
Are your parents fit and well?	父母身体健康吗？	fù mû shën tî jiãn käng mä 	Mak, bapak baik?	Lei ge foo mou geen hong ma?	Lao peh, lao bu ho bo?
What did they die of?	他们死因是什么？	tä mén sî yïn shì shên mè	Mereka meninggal sebab apa?	Mutt ye sei yan?	Yi lang si mi pnee xi?
Have you any siblings? Are they fit and well?	有没有兄妹？他们健康吗？	yôu méi yôu xiöng mèi? tä mén jiãn käng mä?	Ada adik beradik? Mereka baik?	Yau mou heng dai zeh mooi? Koi dei geen hong ma?	Wu hnia di ji bei bo? Yi lang ho bo?
Are you married or single?	你结婚了吗？还是单身?	nî jié hðn lè mä? hái shì dän shën?	Sudah berkahwin?	Git joh fan meh?	Kiat hun liaw buey?
Do you have any children?	你有没有孩子？	nî yôu méi yôu hái zî	Ada anak? 	Yau mou zai nuei?	Ler wu knia bo? 
How many children do you have?	你有几个孩子？	nî yôu jî gè hái zî 	Kamu ada berapa anak?	Yau gei duo gor zai nuei?	Ler wu kwee eh knia?
Are they fit and well?	他们健康吗？	tä mén jiãn käng mä?	Mereka baik?	 Koi dei geen hong ma?	Yi lang ho bo?
Is there any history of  (heart trouble / diabetes / high blood pressure) in the family?	家人有没有患有(心脏病 / 糖尿病 / 高血压)？	jiä rén yôu méi yòu huãn yôu ( xïn zãng bìng / táng nião bìng /  gäo xuè yä )	Ada siapa-siapa (sakit jantung / kencing manis / darah tinggi) dalam keluarga?	Oak kei yarn yau mou (sum zong paeng / tim liew / huik ngak gou)?	Chu lai lang wu (xim eh pnee / pang dnee dio / huit guain) bo?

<h3>Personal History</h3>
Family - Is everything alright at home?	家里一切正常吗？	jiä lî yí qiè zhèng cháng mä 	Adakah semua baik-baik di rumah?	Gah teng yau mou mun tai?	Chu wu dai ji bo?
Accomodation - Where do you live?	你住在哪里？	nî zhù zãi ná lî	Tinggal dimana?	Lei ju bin dou?	Kia do lou?
Job - What is your job?	你做什么工作?	nî zuò shên mè göng zuò  	Kerja apa?	Lei zou mutt gong jork?	Zo si mi gang?
Hobbies - What do you do in your spare time?	你有空时，会做什么?	nî yôu kòng shí, huì zuò shên mè?	Apakah yang kamu buat pada masa lapang?	Duck han yau mut siew hin?	Eng eh si gan, zo si mi?
Alcohol - Do you drink alcohol? How much do you drink?	喝酒吗？喝多少？	hë jiû mä? hë duö shâo?	Ada minun arak? Berapa banyak?	Yau mou yam zau? Yam gei dor?	Ler wu lim jiu bo? Lim lua juei?
Smoking - Do you smoke?	吸烟吗？	xï yän mä	Ada merokok?	Yau mou sek yin?	Wu jia hun ki bo?
Have you ever smoked?	有没有吸过烟？	yôu méi yôu xï guò yän	Pernah merokok?	Yau mou sek gor yin?	Deng pai wu jia hun ki bo?
How many cigarettes do you smoke a day?	平均每天吸几根香烟？	píng jðn mêi tiän xï jî gën yän	Berapa barang sehari?	Yatt yat siew gei dor ji yin?	Zit lid jiah gooi ki hoon ki?
Drugs - What pills are you taking at the moment?	现在有吃什么药？	xiãn zãi yôu chï shên mè yão	Pil / Ubat apa kamu ambil sekarang?	Yee gar sek gan mutt yea york?	Ji zun jiah si mi yeoh?
Have you taken any other pills in the last few months?	过去几个月有吃药吗？	guò qù jî gè yuè yôu chï yão mä 	Selain dari ubat ini, ada ambil ubat lain sebelum ini?	Nee gei gor yuet sek gor mutt yea york?	Ji kui goh geh, wu jia si mi yeoh bo?
